2023-11-14T16:45:51.581-05:00  INFO 37452 --- [restartedMain] c.z.s.m.AccountMaintenanceAppApplication : Starting AccountMaintenanceAppApplication using Java 19.0.1 with PID 37452 (C:\Users\fengz\eclipse-workspace\AccountMaintenanceApp\target\classes started by fengz in C:\Users\fengz\eclipse-workspace\AccountMaintenanceApp)
2023-11-14T16:45:51.585-05:00  INFO 37452 --- [restartedMain] c.z.s.m.AccountMaintenanceAppApplication : No active profile set, falling back to 1 default profile: "default"
2023-11-14T16:45:51.586-05:00 DEBUG 37452 --- [restartedMain] o.s.boot.SpringApplication               : Loading source class com.zack.spring.mvc.AccountMaintenanceAppApplication
2023-11-14T16:45:51.630-05:00 DEBUG 37452 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/C:/Users/fengz/eclipse-workspace/AccountMaintenanceApp/target/classes/]
2023-11-14T16:45:51.631-05:00 DEBUG 37452 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2023-11-14T16:45:51.631-05:00 DEBUG 37452 --- [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2023-11-14T16:45:51.631-05:00  INFO 37452 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-14T16:45:51.631-05:00  INFO 37452 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-14T16:45:51.631-05:00 DEBUG 37452 --- [restartedMain] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1d17aa3c
2023-11-14T16:45:51.645-05:00 DEBUG 37452 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-11-14T16:45:51.656-05:00 DEBUG 37452 --- [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
